frame_index,time_s,non_dark_pixels,non_dark_ratio,frame_diff_mad
0,0.0,1198235,0.9751261393229167,0.0
1,0.05,1191807,0.96989501953125,20.572752278645833
2,0.1,1189684,0.9681673177083333,21.114830729166666
3,0.15,1190658,0.9689599609375,21.483916015625
4,0.2,1191720,0.96982421875,21.663421223958334
5,0.25,1190967,0.96921142578125,22.16223876953125
6,0.3,1189621,0.9681160481770833,22.508075358072915
7,0.35,1188558,0.9672509765625,23.019864095052082
8,0.4,1186770,0.9657958984375,22.73401611328125
9,0.45,1188305,0.9670450846354167,22.63742431640625
10,0.5,1185445,0.9647176106770833,22.650480143229167
11,0.55,1183469,0.9631095377604166,23.1547412109375
12,0.6,1179552,0.959921875,23.354681803385418
13,0.65,1191912,0.96998046875,25.493642578125
14,0.7,1184591,0.9640226236979167,25.410787760416667
15,0.75,1185507,0.96476806640625,23.530450846354167
16,0.8,1184337,0.96381591796875,23.764278971354166
17,0.85,1183278,0.9629541015625,23.167181803385418
18,0.9,1180203,0.96045166015625,22.960590006510415
19,0.95,1179276,0.959697265625,23.095109049479166
20,1.0,1179014,0.9594840494791667,23.236231282552083
21,1.05,1178237,0.9588517252604166,23.19698649088542
22,1.1,1181433,0.96145263671875,23.375953776041666
23,1.15,1182520,0.9623372395833333,23.9175439453125
24,1.2,1183196,0.9628873697916667,24.57046956380208
25,1.25,1186749,0.96577880859375,24.29364990234375
26,1.3,1199497,0.9761531575520833,22.66887939453125
27,1.35,1199589,0.97622802734375,17.91613688151042
28,1.4,1201629,0.97788818359375,17.014462076822916
29,1.45,1185227,0.9645402018229167,20.645088704427085
30,1.5,1187873,0.9666935221354167,21.861366373697916
31,1.55,1189449,0.96797607421875,21.553916015625
32,1.6,1193227,0.9710506184895833,21.295292154947916
33,1.65,1196180,0.9734537760416667,21.488310546875
34,1.7,1195779,0.97312744140625,20.406982421875
35,1.75,1195645,0.9730183919270833,20.261075846354167
36,1.8,1190273,0.9686466471354167,20.244439290364582
37,1.85,1193460,0.971240234375,20.383535970052083
38,1.9,1194375,0.97198486328125,19.95865478515625
39,1.95,1195499,0.9728995768229166,19.28512125651042
40,2.0,1194566,0.9721402994791667,19.026259765625
